"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"08/30/2019","Natural Capital Partners Americas, LLC","130","On Behalf of Third Party","Customer ID 00073039","ACR-US-126-2015-681-261429 to 261558","2015","Version 1.0","10/4/2017 11:04:34 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"08/29/2019","CO2logic Inc.","23257","On Behalf of Third Party","ID number 1086 (Feb 4 2019)","ACR-US-126-2015-681-439731 to 462987","2015","Version 1.0","10/4/2017 11:04:34 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"08/26/2019","Natural Capital Partners Americas, LLC","65000","On Behalf of Third Party","Customer ID 00072251","ACR-US-114-2015-646-339643 to 404642","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/26/2019","Natural Capital Partners Americas, LLC","7500","On Behalf of Third Party","Customer ID 00070198","ACR-US-114-2012-327-89377 to 96876","2012","Version 1.0","4/17/2014 9:47:35 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/26/2019","Natural Capital Partners Americas, LLC","5571","On Behalf of Third Party","Customer ID 00070198","ACR-US-114-2012-327-64049 to 69619","2012","Version 1.0","4/17/2014 9:47:35 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/26/2019","Natural Capital Partners Americas, LLC","19804","On Behalf of Third Party","Customer ID 00072241","ACR-US-126-2012-312-103838 to 123641","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"08/23/2019","Natural Capital Partners Americas, LLC","9276","On Behalf of Third Party","Customer ID 00072241","ACR-US-114-2015-646-330367 to 339642","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/23/2019","Natural Capital Partners Americas, LLC","2705","On Behalf of Third Party","Customer ID 00072241","ACR-US-114-2012-319-107805 to 110509","2012","Version 1.0","10/28/2013 7:47:53 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","134","Environmental Benefit","Transaction Reference 12693","ACR-US-212-2018-817-5352 to 5485","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","6370","Environmental Benefit","Transaction Reference 12692","ACR-US-212-2018-817-56422 to 62791","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","130","Environmental Benefit","Transaction Reference 12691","ACR-US-212-2018-817-5222 to 5351","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","250","Environmental Benefit","Transaction Reference 12690","ACR-US-212-2018-817-4972 to 5221","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","17","Environmental Benefit","Transaction Reference 12689","ACR-US-212-2018-817-4955 to 4971","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","100","Environmental Benefit","Transaction Reference 12688","ACR-US-212-2018-817-4855 to 4954","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","3Degrees Group, Inc.","220","Environmental Benefit","Transaction Reference 12687","ACR-US-212-2018-817-4635 to 4854","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"08/08/2019","Evolution Markets Inc.","3300","On Behalf of Third Party","Environmental benefit and offset of corporate emissions on behalf of Blade Urban Air Mobility, Inc.","ACR-US-126-2014-590-141001 to 144300","2014","Version 1.0","11/22/2016 9:26:21 PM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"07/30/2019","Element Markets Emissions, LLC","110","Environmental Benefit","On behalf of Element Markets’ 2018 emissions","ACR-US-161-2006-117-200767522 to 200767631","2006","Version 1.0","8/30/2007","No","","ACR161","Upper Rock LFG to Energy","US","East Moline","ILLINOIS","Landfill Gas Capture & Combustion",
"07/23/2019","Blue Source","26357","On Behalf of Third Party","Retired on behalf of JPMorgan Chase & Co., 2018","ACR-US-398-2019-820-34 to 26390","2019","Version 1.0","4/17/2019 3:10:29 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR398","Bluesource - Doe Mountain Improved Forest Management Project","US","Johnson County, Tennessee","TENNESSEE","Forest Carbon",
"07/23/2019","Blue Source","33","On Behalf of Third Party","Retired on behalf of Zooterra","ACR-US-398-2019-820-1 to 33","2019","Version 1.0","4/17/2019 3:10:29 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR398","Bluesource - Doe Mountain Improved Forest Management Project","US","Johnson County, Tennessee","TENNESSEE","Forest Carbon",
"07/19/2019","Carbonfund.org","11505","Retail Program Requirements","Retired on behalf of Carbonfund.org's donors","ACR-US-157-2008-434-16314 to 27818","2008","Version 1.0","6/2/2016 2:42:06 PM","No","","ACR157","Truck Stop Electrification, Texas","US","Texas","TEXAS","Transport / Fleet Efficiency",
"07/19/2019","Carbonfund.org","4176","Retail Program Requirements","Retired on behalf of Carbonfund.org's donors","ACR-US-157-2007-435-6728 to 10903","2007","Version 1.0","6/2/2016 2:42:06 PM","No","","ACR157","Truck Stop Electrification, Texas","US","Texas","TEXAS","Transport / Fleet Efficiency",
"07/19/2019","Carbonfund.org","2000","Retail Program Requirements","Retired on behalf of Carbonfund.org's donors","ACR-US-141-2008-496-1 to 2000","2008","Version 1.0","6/2/2016 2:45:03 PM","No","","ACR141","Truck Stop Electrification, Maryland","US","Maryland","MARYLAND","Transport / Fleet Efficiency",
"07/19/2019","Carbonfund.org","5980","Retail Program Requirements","Retired on behalf of Carbonfund.org's donors","ACR-US-157-2009-433-1 to 5980","2009","Version 1.0","6/2/2016 2:42:06 PM","No","","ACR157","Truck Stop Electrification, Texas","US","Texas","TEXAS","Transport / Fleet Efficiency",
"07/19/2019","Carbonfund.org","550","Retail Program Requirements","Retired on behalf of Carbonfund.org's donors","ACR-US-147-2007-473-1 to 550","2007","Version 1.0","6/2/2016 2:43:56 PM","No","","ACR147","Truck Stop Electrification, New Jersey","US","New Jersey","NEW JERSEY","Transport / Fleet Efficiency",
"07/18/2019","The Climate Trust","710","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Avangrid-Klamath Generation Peakers True Up","ACR-US-389-2018-718-244291 to 245000","2018","Version 1.0","5/3/2018 9:54:33 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR389","Winston Creek Forest Carbon Project","US","Morton, Washington","WASHINGTON","Forest Carbon",
"07/18/2019","The Climate Trust","49290","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Avista- Coyote Springs Unit 2","ACR-US-389-2018-718-195001 to 244290","2018","Version 1.0","5/3/2018 9:54:33 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR389","Winston Creek Forest Carbon Project","US","Morton, Washington","WASHINGTON","Forest Carbon",
"07/10/2019","The Climate Trust","7","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-380-2015-854-1 to 7","2015","Version 1.0","5/30/2019 4:56:15 AM","No","Zero Hunger;Clean Water and Sanitation;Climate Action","ACR380","CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","US","NCR","IOWA","Agricultural Land Management",
"07/10/2019","The Climate Trust","38","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-380-2016-853-1 to 38","2016","Version 1.0","5/30/2019 4:56:15 AM","No","Zero Hunger;Clean Water and Sanitation;Climate Action","ACR380","CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","US","NCR","IOWA","Agricultural Land Management",
"07/10/2019","The Climate Trust","4","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-380-2013-855-1 to 4","2013","Version 1.0","5/30/2019 4:56:15 AM","No","Zero Hunger;Clean Water and Sanitation;Climate Action","ACR380","CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","US","NCR","IOWA","Agricultural Land Management",
"07/10/2019","The Climate Trust","21","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR-US-380-2017-852-1 to 21","2017","Version 1.0","5/30/2019 4:56:15 AM","No","Zero Hunger;Clean Water and Sanitation;Climate Action","ACR380","CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","US","NCR","IOWA","Agricultural Land Management",
"07/03/2019","ClimeCo Corporation","117","On Behalf of Third Party","CHESC 2019","ACR-US-164-2007-280-202256043 to 202256159","2007","Version 1.0","2/11/2008","No","","ACR164","DANC","US","Rodman, NY","NEW YORK","Landfill Gas Capture & Combustion",
"07/03/2019","ClimeCo Corporation","172","On Behalf of Third Party","Green Sports Alliance Summit 2019","ACR-US-164-2007-280-202255871 to 202256042","2007","Version 1.0","2/11/2008","No","","ACR164","DANC","US","Rodman, NY","NEW YORK","Landfill Gas Capture & Combustion",
"07/02/2019","Arbor Day Foundation","17938","On Behalf of Third Party","Wyndham","ACR-US-114-2015-646-486275 to 504212","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/02/2019","Arbor Day Foundation","102","On Behalf of Third Party","Wyndham","ACR-US-114-2017-734-9208 to 9309","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/02/2019","Arbor Day Foundation","31","On Behalf of Third Party","Brightworks","ACR-US-114-2017-734-9177 to 9207","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/02/2019","Arbor Day Foundation","2","On Behalf of Third Party","Wyndham","ACR-US-114-2012-320-40523 to 40524","2012","Version 1.0","10/28/2013 11:54:31 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/02/2019","Arbor Day Foundation","179","On Behalf of Third Party","Wyndham","ACR-US-114-2012-327-86839 to 87017","2012","Version 1.0","4/17/2014 9:47:35 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"07/02/2019","Arbor Day Foundation","23809","On Behalf of Third Party","Wyndham","ACR-US-114-2012-319-133348 to 157156","2012","Version 1.0","10/28/2013 7:47:53 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"06/28/2019","Arbor Day Foundation","35000","On Behalf of Third Party","Capital One VERs","ACR-US-114-2015-646-742275 to 777274","2015","Version 1.0","5/31/2017 8:47:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"06/24/2019","CleanChoice Energy","1","Other","Clean Furnace Program 2018","ACR-US-375-2018-785-11103 to 11103","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"06/24/2019","CleanChoice Energy","1","Other","Clean Furnace Program 2018-VA","ACR-US-375-2018-785-11102 to 11102","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"06/24/2019","CleanChoice Energy","3","Other","Clean Furnace Program 2018-VT","ACR-US-375-2018-785-11099 to 11101","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"06/24/2019","CleanChoice Energy","8","Other","Clean Furnace Program 2018-PA","ACR-US-375-2018-785-11091 to 11098","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"06/24/2019","CleanChoice Energy","19","Other","Clean Furnace Program 2018-NY","ACR-US-375-2018-785-11072 to 11090","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"06/24/2019","CleanChoice Energy","9","Other","Clean Furnace Program 2018-NJ","ACR-US-375-2018-785-11063 to 11071","2018","Version 1.0","11/20/2018 8:29:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
